"tmpID","ResidenceHHGenderDescription","EthnicDescription","BroadEthnicGroupings","PresenceOfChildrenCode","ISPSA","HomeOwnerRenter","MosaicZ4","MedianEducationYears","NetWorth","Investor","BusinessOwner","Education","OccupationIndustry","HorseOwner","CatOwner","DogOwner","OtherPetOwner","HomeOffice","BookBuyerInHome","UpscaleBuyerInHome","BuyerofAntiquesinHousehold","BuyerofArtinHousehold","GeneralCollectorinHousehold","BooksAudioReadinginHousehold","ComputerOwnerInHome","ReligiousContributorInHome","PoliticalContributerInHome","DonatesEnvironmentCauseInHome","DonatesToCharityInHome","DonatestoAnimalWelfare","DonatestoArtsandCulture","DonatestoChildrensCauses","DonatestoHealthcare","DonatestoInternationalAidCauses","DonatestoVeteransCauses","DonatestoHealthcare1","DonatestoInternationalAidCauses1","DonatestoWildlifePreservation","DonatestoLocalCommunity","FirstName","LastName","Gender","Age","TelephonesFullPhone","lat","lon","county","city","state","fips","stateFips","HomePurchasePrice","LandValue","DwellingUnitSize","storeVisitFrequency","PropertyType","EstHomeValue","FamilyMagazineInHome","FemaleOrientedMagazineInHome","ReligiousMagazineInHome","GardeningMagazineInHome","CulinaryInterestMagazineInHome","HealthFitnessMagazineInHome","DoItYourselfMagazineInHome","FinancialMagazineInHome","InterestinCurrentAffairsPoliticsInHousehold","PartiesDescription","ReligionsDescription","LikelyUnionMember","GunOwner","Veteran","supportsAffordableCareAct","supportsGayMarriage","supportsGunControl","supportsTaxesRaise","overallsocialviews","DonatestoConservativeCauses","DonatestoLiberalCauses"
1007,"Mixed Gender Household","German","German","Known Data",1,"Likely Homeowner","",15,"$50000-99999","","","Unknown","Unknown","","","","","","","","","Yes","","","Yes","","1 political contribution  in home","Unknown","Yes","","","","","","","","","","","Damian","Swaniawski","F",39.8058783321941,"(385)-683-1439",45.48828,-109.0496,"Carbon County","Joliet","Montana",30009,"30","$586000","","1-Single Family Dwelling",6,"Residential","$373500","","","","","","","","","","Democratic","","","Unknown","Unknown","","","","","","",""
1740,"Mixed Gender Household","English/Welsh","Hispanic","Not Likely to have a child",9,"Likely Homeowner","",13,"$100000-249999","","","Bach Degree - Likely","Education","Yes","","","","","2 book purchases in home","","","","","","Unknown","","","Unknown","Yes","","","","","","","","","","","Armand","Hammes","M",66.6520847573479,"(126)-593-5489",35.44338,-99.1337,"Washita County","Foss","Oklahoma",40149,"40","","","",7,"Residential","$181817","","","","","","","","","","Democratic","Catholic","","Unknown","Yes","","","","","","",""
5827,"Mixed Gender Household","Likely Af-Am (Modeled)","Likely Af-Am (Modeled)","Modeled Not as Likely to have a child",6,"Likely Homeowner","",14,"$250000-499999","","","Bach Degree - Extremely Likely","Other","","","","Yes","","","","","","","","Yes","2 religious contributions in home","","Unknown","Unknown","","","","","","","","","","","Ja","Bahringer","M",86.0615174299385,"(371)-638-8592",39.74174,-118.62234,"Churchill County","Fallon National Wildlife Refuge","Nevada",32001,"32","","$14000","1-Single Family Dwelling",6,"Condominium","$112500","2 family-oriented magazine purchases","","","","","4 health and fitness magazine purchases","","1 financial magazine purchase ","","Republican","Protestant","","Unknown","Unknown","","","","","","",""
3183,"Mixed Gender Household","","Irish","Known Data",8,"Likely Homeowner","",12,"$1-4999","","","Unknown","Unknown","","","","","","","","","","Yes","","Yes","1 religious contribution  in home","","Unknown","Unknown","","","","","","","","","","","Jesus","Bashirian","M",28.3991797676008,"(486)-623-5617",48.85248,-113.86179,"Glacier County","Fifty Mountain Shelter Cabin","Montana",30029,"30","$144000","$38000","1-Single Family Dwelling",5,"Residential","$140000","","","","","","","","","","Democratic","Jewish","Yes","Unknown","Unknown","","","","","","",""
2917,"Female Only Household","","Polish","Modeled Not as Likely to have a child",9,"Likely Homeowner","",16,"$250000-499999","","","Grad Degree - Likely","Unknown","","","","","","","","","","","","Yes","","","Unknown","Yes","","","","","","","","","","Yes","Lyman","Cronin","M",87.7347915242652,"(496)-631-7563",36.45463,-120.82627,"San Benito County","Bucks Peak Spring","California",6069,"6","","$15000","1-Single Family Dwelling",8,"Residential","$137500","","","","","","","","","Yes","Democratic","Protestant","","Unknown","Unknown","","","","","","",""
2980,"Mixed Gender Household","English/Welsh","English/Welsh","",9,"Likely Renter","",15,"$100000-249999","Yes","","Unknown","Unknown","","Yes","","","","","","","Yes","","","Unknown","","","Unknown","Yes","","Yes","","","","","","","","","Matha","Braun","M",95.5434039644566,"(364)-451-9658",33.94726,-112.40656,"Yavapai County","Castle Hot Springs","Arizona",4025,"4","","$17000","1-Single Family Dwelling",5,"Residential","$162700","","","","","","","","","","Non-Partisan","Catholic","","Unknown","Unknown","","","","","","",""
5724,"Mixed Gender Household","French","English/Welsh","Known Data",7,"Likely Homeowner","",16,"$250000-499999","Yes","","Grad Degree - Extremely Likely","Unknown","","","","","","","","","","","","Yes","","","Unknown","Yes","","","","","","","","","","","Marianne","Terry","F",29.5283663704716,"(245)-684-5341",35.19441,-118.81537,"Kern County","Arvin","California",6029,"6","$200000","$18000","1-Single Family Dwelling",5,"Residential","$246200","","","","1 gardening magazine purchase ","","","1 Do-It-Yourself magazine purchase ","","Yes","Republican","Protestant","Yes","Unknown","Unknown","","","","","","",""
5261,"Female Only Household","Scots","English/Welsh","Not Likely to have a child",9,"Likely Homeowner","Reaping Rewards",12,"$50000-99999","","","HS Diploma - Extremely Likely","Unknown","","","","","","","","","","","","Yes","","","Unknown","Unknown","","","","Yes","","","Yes","","","Yes","Lazaro","Keebler","M",39.8113465481887,"(259)-738-9285",32.73333,-80.25302,"Charleston County","Hollywood","South Carolina",45019,"45","","$11000","1-Single Family Dwelling",7,"Residential","$124800","","","","","","","","","Yes","Republican","Protestant","Yes","Unknown","Unknown","","","","","","",""
2812,"Mixed Gender Household","Scots","Irish","Not Likely to have a child",9,"Likely Homeowner","",16,"","Yes","","Grad Degree - Likely","Skilled Trades","","","","Yes","","","","","","","","Yes","","1 political contribution  in home","Unknown","Yes","","","","","","","","","","","Rayford","Wiegand","F",47.4422419685578,"(469)-498-3147",33.18821,-81.02899,"Bamberg County","Clear Pond","South Carolina",45009,"45","","$8000","1-Single Family Dwelling",6,"Residential","$162500","","","","","","","","","","Democratic","Protestant","","Yes","Yes","","","","","","",""
1251,"Mixed Gender Household","Irish","","Not Likely to have a child",9,"Likely Homeowner","",16,"$25000-49999","","","Bach Degree - Extremely Likely","Unknown","","","","","","1 book purchase in home ","","","","Yes","","Yes","1 religious contribution  in home","1 political contribution  in home","Unknown","Yes","","","Yes","Yes","","Yes","Yes","","Yes","Yes","Maryln","Hammes","F",92.688995215311,"(194)-125-7849",42.40537,-71.12116,"Middlesex County","Boston","Massachusetts",25017,"25","$132000","$17000","1-Single Family Dwelling",6,"Residential","$130900","","","","","","","","","Yes","Democratic","","","Unknown","Unknown","","","","","","",""
